Month,DNI,Cloud Type,Dew Point,Solar Zenith Angle,Wind Speed,Relative Humidity,Temperature,Pressure
1,0,1,-12,156.44,5.4,67.86,-8,920
1,0,4,-12,155.8,5.3,67.84,-8,920
1,0,4,-12,153.74,5.3,68.31,-8,920
1,0,4,-12,150.58,5.1,68.3,-8,920
1,0,4,-12,146.64,5,69.2,-8,920
1,0,4,-12,142.19,5,69.19,-7,920
1,0,1,-12,137.4,5,71.3,-7,920
1,0,4,-12,132.42,4.8,65.99,-7,920
1,0,4,-11,127.32,4.7,68.25,-7,920
1,0,4,-11,122.17,4.6,68.25,-7,920
1,0,4,-11,117.02,4.5,70.83,-7,920
1,0,4,-11,111.92,4.4,65.62,-6,920
1,0,4,-10,106.91,4.4,68.42,-6,920
1,0,4,-10,102.01,4,68.43,-6,920
1,0,4,-10,97.28,3.7,70.32,-6,920
1,0,4,-10,92.76,3.7,70.34,-6,920
1,0,4,-10,88.47,3.7,72.49,-6,920
1,0,7,-10,84.49,3.8,67.21,-5,920
1,0,7,-9,80.86,4,71.64,-4,920
1,0,8,-9,77.64,4,66.45,-3,920
1,0,4,-8,74.88,4,66.43,-3,920
1,0,4,-8,72.64,3.9,61.68,-2,920
1,0,4,-7,70.98,3.9,61.65,-1,920
1,159,4,-7,69.94,3.7,57.31,0,920
1,0,4,-6,69.55,3.6,61.13,0,920
1,111,4,-6,69.82,3.4,61.11,0,920
1,0,8,-5,70.74,3.3,65.07,0,920
1,0,8,-5,72.29,3,65.08,0,920
1,0,4,-5,74.42,2.9,68.41,0,920
1,0,4,-5,77.09,2.2,68.42,0,920
1,0,4,-5,80.23,1.5,74.22,-1,920
1,491,1,-5,83.79,1.4,79.87,-2,920
1,0,4,-6,87.71,1.4,78.11,-3,920
1,0,4,-6,91.94,1.5,84.16,-3,920
1,0,4,-6,96.43,1.6,89.29,-4,920
1,0,4,-6,101.12,1.6,89.3,-4,920
1,0,4,-6,105.99,1.7,90.08,-5,920
1,0,4,-6,110.98,1.7,90.08,-5,920
1,0,7,-6,116.07,1.7,91.98,-5,920
1,0,4,-6,121.2,1.8,91.97,-5,920
1,0,4,-5,126.35,1.9,94.06,-5,920
1,0,1,-5,131.46,2,94.05,-5,920
1,0,1,-5,136.47,2.1,95.27,-5,920
1,0,4,-5,141.3,2.2,95.26,-5,920
1,0,1,-6,145.82,2.3,100,-5,920
1,0,4,-6,149.86,2.4,100,-5,920
1,0,4,-6,153.18,2.5,100,-5,920
1,0,4,-6,155.45,2.6,100,-5,920
1,0,1,-6,156.35,2.7,100,-5,920
1,0,1,-6,155.74,2.6,100,-5,920
1,0,1,-6,153.71,2.6,100,-5,920
1,0,1,-6,150.57,2.5,100,-5,920
1,0,1,-6,146.64,2.5,95.11,-6,920
1,0,1,-6,142.2,2.4,95.07,-6,920
1,0,1,-7,137.42,2.4,88.24,-6,920
1,0,1,-7,132.44,2.4,88.21,-6,920
1,0,1,-8,127.34,2.4,81.81,-6,920
1,0,0,-8,122.19,2.4,81.78,-6,920
1,0,0,-9,117.04,2.4,78.07,-6,920
1,0,0,-9,111.94,2.4,78.04,-6,920
1,0,0,-9,106.92,2.4,76.91,-6,920
1,0,1,-9,102.03,2.4,76.88,-5,920
